LINE_ITEM_NAME,Actual_eCPM
Adsense house ad,-
Adsense backup ad,-
CarToq ad first story pos first,-
Adx Native Ad,-
CarToq ad first story pos second,-
CarToq ad first story pos third,-
CarToq ad second story pos first,-
CarToq ad second story pos second,-
CarToq ad second story pos third,-
Adsense Native ad,-
CarToq ad third story pos first,-
CarToq ad third story pos second,-
CarToq ad third story pos third,-
CarToq ad fourth story pos first,-
CarToq ad fourth story pos second,-
CarToq ad fourth story pos third,-
-,-
CarToq-Renault-Capture-Jan-18,-
Smaato in house,-
Desktop Leaderboard,-
Mobile leaderboard,-
Adgebra English,-
Media-net in house,-
AMP pages adx,-
Renault Captur Feb 2018 - CarToq,-
IN_Amnet_Swift_CARTOQ-Feb 2018,-
Renault Captur Feb 2018 - Desktop - CarToq,-
Cartoq Story 4th Middle ad unit - with 240*400,-
CarToq Adx All Story Pages,-
IN_Amnet_Dzire_WagonR_CARTOQ,-
Aol line item,-
IN_Amnet_Brezza_CARTOQ,-
Hyundai Xcent HyBUY Cartoq - SOV Hyundai Xcent,-
Hyundai Xcent HyBUY Cartoq - SOV Honda Amaze,-
Hyundai Xcent HyBUY Cartoq - SOV Maruti Swift Dzire,-
seventynine CPC test campaign,-
"Hyundai Xcent HyBUY Cartoq - SOV Maruti Swift Dzire,Amaze,Xcent - TOP",-
Freakout Native campaign,-
Cartoq Mobile Leader board First Story First ad unit,-
Jeep Campaign Hochads-18,-
Jeep Campaign Hochads-18 - 2,-
Maruti Non Nexa PG Deal April 18- Cartoq-Amnet,-
Cartoq English 2nd English test,-
Vibe In-Article Video,-
Story 5th Middle Sponsorship Line Item,-
Datsun Go CPC,-
Datsun Go+ Offer (N),-
Maruti - Swift Dzire Tactical campaign_May2018,-
Datsun 0.8 (Redigo) -(N),-
Datsun AMT (N),-
Datsun 1L (N),-
Adterra_monthly-May_15_2018,60
Coverfox_brand_CPV_19-05-2018-2,7
Maruti Dzire - Cartoq-Amnet PG-May,-
PWT_5b192d88a9fbf_3.694,-
PWT_5b192d88a9fbf_1.007,-
Teads,-
Teads 2,-
PWT_5b192d88a9fbf_6.38,-
Cars24 Brand Campaign June 2018-English,108
PWT_5b192d88a9fbf_27.871,-
PWT_5b192d88a9fbf_19.812,-
PWT_5b192d88a9fbf_11.753,-
Teads.tv Outstream with adx passback,201
PWT_5b192d88a9fbf_39.288,-
PWT_5b192e2c63cce_80.927,-
PWT_5b192d88a9fbf_35.93,-
PWT_5b192d88a9fbf_5.037,-
Cartoq Mobile adsense Leaderboard,-
Cartoq Desktop  Leaderboard - Adsense,-
Adsense house ad - 300x250-1 - Cartoq Non AMP,9.36
Adsense house ad - 336x280-1 - Cartoq Non AMP,9.36
Freakout_monthly-April-18-2018,5
cartoq leadrboard desktop,9.36
Coverfox_brand_CPV_19-05-2018,7
PWT_5b192d88a9fbf_7.052,-
PWT_5b192d88a9fbf_2.351,-
PWT_5b192d88a9fbf_41.975,-
PWT_5b192d88a9fbf_23.842,-
PWT_5b192d88a9fbf_29.214,-
PWT_5b192d88a9fbf_3.022,-
PWT_5b192d88a9fbf_20.484,-
PWT_5b192d88a9fbf_36.602,-
PWT_5b192d88a9fbf_40.631,-
PWT_5b192d88a9fbf_1.679,-
PWT_5b192d88a9fbf_15.782,-
PWT_5b192d88a9fbf_33.244,-
PWT_5b192e2c63cce_76.226,-
house-video-ad-kia,0
KIA Video campaign,120
Teads Live Campaign,201
Cars24_Brand-Campaign-Hyderabad-19-05-2018-leaderboard,108
Teads AMP Bottom Ad Unit,201
Cartoq - Adsense responsive 2,9.36
Exponantial Test LIne Item - Top,0
SCross-cartoq-adglobal360 PG,-
Droom-Cartoq-PG-Deal,-
Cartoq House ad,0
Cartoq English WhatsApp Campaign,-
PWT_5b192d88a9fbf_11.081,-
PWT_5b192d88a9fbf_27.2,-
PWT_5b192d88a9fbf_44.661,-
PWT_5b192d88a9fbf_4.365,-
PWT_5b192d88a9fbf_5.709,-
PWT_5b192d88a9fbf_8.395,-
PWT_5b192d88a9fbf_9.738,-
PWT_5b192d88a9fbf_13.096,-
PWT_5b192d88a9fbf_14.439,-
PWT_5b192d88a9fbf_16.454,-
PWT_5b192d88a9fbf_17.797,-
PWT_5b192d88a9fbf_19.14,-
PWT_5b192d88a9fbf_21.827,-
PWT_5b192d88a9fbf_23.17,-
PWT_5b192d88a9fbf_24.513,-
PWT_5b192d88a9fbf_25.856,-
PWT_5b192d88a9fbf_29.886,-
PWT_5b192d88a9fbf_31.229,-
PWT_5b192d88a9fbf_32.572,-
PWT_5b192d88a9fbf_33.915,-
PWT_5b192d88a9fbf_35.259,-
PWT_5b192d88a9fbf_37.945,-
PWT_5b192d88a9fbf_42.646,-
PWT_5b192d88a9fbf_43.989,-
PWT_5b192d88a9fbf_46.004,-
PWT_5b192d88a9fbf_47.347,-
PWT_5b192d88a9fbf_50.034,-
PWT_5b192d88a9fbf_51.377,-
PWT_5b192d88a9fbf_52.72,-
PWT_5b192e2c63cce_55.406,-
PWT_5b192e2c63cce_56.75,-
PWT_5b192e2c63cce_59.436,-
PWT_5b192e2c63cce_60.779,-
PWT_5b192e2c63cce_62.122,-
PWT_5b192e2c63cce_66.152,-
PWT_5b192e2c63cce_68.838,-
PWT_5b192e2c63cce_70.181,-
PWT_5b192e2c63cce_71.525,-
PWT_5b192e2c63cce_74.211,-
PWT_5b192e2c63cce_76.897,-
PWT_5b192e2c63cce_79.584,-
PWT_5b192e2c63cce_82.27,-
PWT_5b192e2c63cce_83.613,-
PWT_5b192e2c63cce_84.957,-
PWT_5b192e2c63cce_86.3,-
PWT_5b192e2c63cce_87.643,-
PWT_5b192e2c63cce_88.986,-
PWT_5b192e2c63cce_90.329,-
PWT_5b192e2c63cce_91.672,-
PWT_5b192e2c63cce_93.016,-
PWT_5b192e2c63cce_94.359,-
PWT_5b192e2c63cce_95.702,-
PWT_5b192e2c63cce_97.045,-
PWT_5b192e2c63cce_98.388,-
PWT_5b192e2c63cce_99.732,-
PWT_5b192e2c63cce_105.104,-
PWT_5b192e2c63cce_106.447,-
PWT_5b19307a78e7e_163.869,-
PWT_5b19307a78e7e_166.555,-
PWT_5b19307a78e7e_162.526,-
PWT_5b19307a78e7e_165.212,-
PWT_5b19307a78e7e_167.898,-
PWT_5b19307a78e7e_171.928,-
PWT_5b19307a78e7e_177.301,-
PWT_5b19307a78e7e_190.732,-
PWT_5b19307a78e7e_196.105,-
PWT_5b19307a78e7e_208.194,-
PWT_5b19307a78e7e_232.371,-
PWT_5b19307a78e7e_239.087,-
PWT_5b19307a78e7e_169.241,-
PWT_5b19307a78e7e_173.271,-
PWT_5b19307a78e7e_178.644,-
PWT_5b19307a78e7e_181.33,-
PWT_5b192ebe59b43_111.149,-
PWT_5b192ebe59b43_124.581,-
PWT_5b192ebe59b43_130.625,-
PWT_5b192ebe59b43_131.296,-
PWT_5b192ebe59b43_113.163,-
PWT_5b192ebe59b43_121.223,-
PWT_5b192ebe59b43_122.566,-
PWT_5b192ebe59b43_123.909,-
PWT_5b192ebe59b43_141.37,-
PWT_5b192ebe59b43_150.101,-
